"paper_id","title","year","evidence_level","input","output_unit","decision_rule","answer_key","evaluation","reliability","human_grounding","leakage","scope","falsifiability","closest_overlap_with_lit2test","key_difference_from_lit2test"
"schopf2026_rinobench","Is this Idea Novel? An Automated Benchmark for Judgment of Research Ideas","2026","E4","Structured research idea (problem, objective, solution approach) plus titles/abstracts of cited related works.","Novelty score 1–5 plus short literature-grounded textual justification.","minimal_test=no; decisive_metric=no; support=no; falsifier=no; controls=no","Human expert novelty scores/arguments and cited related works.","1,381 ICLR 2022/2023 ideas; macro-F1/MAE for scores plus seven justification metrics for alignment, known/novel-aspect recall/addition/hallucination.","order_reversal=no; position_bias=no; calibration=Direct comparison with human scores and human-derived rationales; grounding quality filter.","sample=6,410 submissions initially; ~3 expert reviews each; 3,535 high-agreement submissions before final 1,381 after processing/filtering.; agreement=Filter-based only: max disagreement ≤1 across both novelty dimensions; no kappa/ICC.","No prospective split; only cited related works from introduction/related-work sections are supplied.","Alignment of automatic research-idea novelty judgments with expert peer-review judgments and rationales.","required=no; notes=RINoBench is the plan’s RINoBench seed. It is not a generation or experiment-design benchmark.","Human-labeled open-ended research-idea judgments with literature context and explicit rationales.","Only judges novelty of a generic idea representation; no experiment, metric, minimal test, supporting result, falsifying result, pairwise reliability, or order controls."
"sinhahajari2026_rq_bench","On the Limits of LLM-as-Judge for Scientific Novelty Assessment","2026","E4","Influential cited background papers (with section text), grounded gaps, and author-anchored research question reconstructed from a recent source paper.","Exactly five generated research questions; judges score each question on novelty/scope or compare it listwise.","minimal_test=no; decisive_metric=no; support=no; falsifier=no; controls=no","Target/source paper’s pursued research question is a reference point, explicitly not the only valid question.","1,434 author-anchored RQs from 746 papers; standalone and listwise comparative scores on originality/gap-addressing/non-obviousness; two LLM judges and blinded two-expert study on 50 cs.CL/cs.LG cases.","order_reversal=no; position_bias=no candidate-order randomization/reversal reported.; calibration=Direct blinded human comparison on same non-obviousness rubric; extracted-RQ faithfulness: 50/50 human approved.","sample=2 domain experts × 50 blinded comparisons (repeated with alternate prompt on 50).; agreement=yes: expert–expert 60% original study (54% alternate prompt); LLM–LLM 52%/62%; expert–LLM as low as 22%.","Recent 2025–2026 arXiv source papers; author-anchor overlap reported as memorization diagnostic.","Research-question generation and reliability of LLM-as-judge for scientific novelty.","required=no; notes=The narrowness rubric calls some outputs “diagnostic/test-list framing,” but that is a scope judgment, not a requirement to state falsifying outcomes.","Local real-paper background, no assumption that the author-anchored continuation is unique, multi-judge and human-alignment analysis.","Outputs research questions rather than testable proposals; target-paper RQ remains a reference; no minimal experiment, metric, supporting result, or falsifying outcome; no order reversal."
"ye2026_proof_of_time","Proof of Time: A Benchmark for Evaluating Scientific Idea Judgments","2026","E4","Frozen pre-cutoff evidence snapshots for papers, authors, or benchmark leaderboards in an offline sandbox.","MCQ, ranking, or bucket forecast of citations, awards, faculty research direction, or future SOTA.","minimal_test=no; decisive_metric=yes (external task label); support=no; falsifier=no; controls=no","Later observable outcome.","Over 30K instances in four domains; exact-match against post-cutoff signals; direct and tool-using agent conditions with budget/tool ablations.","order_reversal=no; position_bias=no; calibration=none","sample=none; agreement=no","Formal E≤t0 versus yt1 split; network-disabled read-only sandbox.","Future-facing scientific judgment tied to later observable impact/value/evolution signals.","required=no; notes=PoT is an idea-judgment/forecasting benchmark, not idea generation. It demonstrates that no-future-label design is a trade-off, not a universal norm.","Prospective/temporal evaluation and discrete future-verifiable outcomes rather than subjective LLM judge labels.","Forecasts realized downstream signals and does not generate or judge a minimal falsifiable test; later outcomes are explicit answer keys."
"liu2026_researchbench","ResearchBench: Benchmarking LLMs in Scientific Discovery via Inspiration-Based Task Decomposition","2026","E3","Target paper decomposed into research question, background survey, ground-truth inspiration papers, and ground-truth hypothesis; negative inspiration papers sampled at three semantic/domain distances.","Retrieved inspiration set; composed hypothesis; pairwise judgment between ground-truth and negative hypotheses.","minimal_test=no; decisive_metric=no; support=no; falsifier=no; controls=no","The target paper’s hypothesis and inspiration papers.","Retrieval accuracy; generated-hypothesis matched score on a 0–5 Likert scale against target key points; ground-truth-vs-negative pairwise ranking repeated in both orders.","order_reversal=yes: every hypothesis pair compared twice with reverse positions.; position_bias=yes: Table 6 reports both-wrong/one-right/both-right; some models self-contradict up to 91.67%.; calibration=Expert validation of decomposition, necessity, and sufficiency; no calibration of ranking judge to human preference.","sample=5 PhD experts; 62 sampled papers; domain assignment means little overlap.; agreement=no: authors explicitly state experts rarely reviewed the same papers.","2024+ target papers; stricter post-July-2024 subset analysis in Appendix A.1.","Inspiration retrieval, hypothesis composition, and hypothesis ranking as a sufficient decomposition of scientific discovery.","required=no; notes=A.5 asks which hypothesis would be more effective if tested, but does not request a test design or falsifying observation.","Real-paper decomposition, hypothesis generation, pairwise comparison, explicit reverse-order evaluation, and contamination-aware construction.","Measures recovery/ranking of the target-paper hypothesis, not prospective minimal-test formulation; no experiment plan, decisive metric, supporting result, or falsifying outcome."
"zhao2026_researchstudio_idea","ResearchStudio-Idea: An Evidence-Grounded Research-Ideation Skill Suite from ML Conference Outcomes","2026","E4","Under-specified user research direction plus live, multi-source retrieved literature and an evidence bundle; 15/31 conference-outcome-derived ideation patterns guide the workflow.","One proposal artifact bundle/idea card with motivation, method flow, core claim, compute budget, feasibility validation, and mandatory falsification_prediction; possible stop/abandon instead of an idea.","minimal_test=yes; decisive_metric=partial; support=yes; falsifier=yes; controls=yes","No unique future-paper answer key for scoring; closest literature and normalized proposals are judged automatically.","100 title-only method-agnostic ICLR-2026-Oral seeds; four systems; outputs normalized to Title/Motivation/Method; blind listwise quality ranking and prior-art novelty scoring, three fresh rounds with per-seed/per-round random labels.","order_reversal=randomized_per_round_not_exact_reverse; position_bias=controlled by a fresh random label permutation per seed and round; no separate residual-bias statistic.; calibration=No human calibration; format/length/equation normalization and blind repeated randomization.","sample=none for endpoint evaluation; agreement=no","Induction corpus 2021–2025; held-out ICLR-2026 Oral title-only seeds; live collision retrieval; source identity withheld.","A reusable evidence-grounded ideation skill/system; endpoint generation quality and novelty are evaluated, not falsifier-formulation capability itself.","required=yes; notes=Schema nuance: positive result direction is required. The falsifying discriminator is the negative-control intervention returning the downstream outcome toward baseline; it is a mechanism falsifier rather than a separate free-standing “falsifying_result” field. Byte identity is strict Phase2→Phase4 and Phase2→Phase3→Phase4 on revise paths, except an explicitly audited rewrite_falsification operation can re-base the Phase3→Phase4 commitment. Thus prior-system absence is unsafe; only a qualified claim about the complete minimal-falsifiable-test contract as a joint benchmark unit remains plausible.","Direct positive match: requires a minimal experiment, named downstream metric and supporting direction, a named load-bearing variable, and a non-tautological negative-control intervention whose downstream outcome distinguishes the mechanism.","It is a retrieval- and audit-augmented research-ideation skill whose falsification prediction acts as a generation-time safeguard. Endpoint evaluation normalizes to Title/Motivation/Method, so judges do not see or score falsification_prediction. Lit2Test instead compares the complete contract holistically under a fixed literature context; this is an evaluation-unit distinction, not an isolated falsifier score."
"moussa2026_scholareval","ScholarEval: Research Idea Evaluation Grounded in Literature","2026","E4","A research idea with Problem, Methods, and Experiments, plus a cutoff date; system retrieves literature.","Long-form citation-grounded soundness and contribution review with strengths, weaknesses, and actionable suggestions.","minimal_test=no; decisive_metric=no; support=no; falsifier=no; controls=no","Human peer-review points restricted to aspects knowable at ideation stage.","ScholarIdeas contains 117 retrospectively extracted ideas and 1,076 expert-validated review rubrics. Coverage uses Prometheus 1–5 per rubric. Claude-4-Sonnet pairwise-compares ScholarEval vs baselines on evidence, actionability, and depth; human study validates judge and usefulness.","order_reversal=no; position_bias=no; calibration=Human pairwise replication with same rubric; expert user study; source validity audit.","sample=6 experts validate 117 idea/rubric pairs; judge calibration: 6 PhD students over 33 report pairs (18 non-split); user study: 18 experts and 46 evaluations.; agreement=yes: human–LLM percent agreement/Gwet AC1 = 66.67%/0.4476 evidence, 72.22%/0.1667 actionability, 61.11%/0.3883 depth.","First submission/review versions; results sections dropped; paper publication date used as retrieval cutoff.","Coverage and quality of pre-execution research-idea evaluation.","required=no; notes=Soundness retrieval extracts supporting/contradicting literature evidence, which is not the same as requiring the proposal to state an outcome that would falsify its own hypothesis.","Pre-execution idea review, literature grounding, explicit soundness/experimental-plan critique, cutoff-aware evidence, and bounded human calibration.","Judges already-written full plans and outputs feedback; it does not ask a generator to formulate a minimal test or precommit supporting/falsifying outcomes, and its primary automatic pairwise judge compares review reports rather than ideas."
"ho2026_soundnessbench","SoundnessBench: Can Your AI Scientist Really Tell Good Research Ideas from Bad Ones?","2026","E4","Results-masked, near-verbatim ICLR proposal represented as hypothesis and experiment description; source paper used only for construction/audit.","Binary low/high soundness label, 1–5 confidence, and detailed justification.","minimal_test=no; decisive_metric=partial; support=no; falsifier=generic_testability_only; controls=partial","Expert reviewer soundness proxy from completed source papers, with results masked from model input.","1,099 proposals labeled from reviewer soundness sub-scores; 12 LLMs under standard and aggressive prompts; contamination, identifier, surface-feature, slice, and adversarial-content controls.","order_reversal=no; position_bias=no; calibration=Prompt-framing stress test plus multiple confounder controls and preliminary human audit.","sample=Preliminary audit: 2 annotators, balanced 60-proposal subset.; agreement=Reports 92.3% expected-No leakage checks and 84.6% expected-Yes label defensibility; not a full inter-rater coefficient.","Results/outcome/acceptance cues removed; ICLR-2026 subset with cutoff-restricted models; identifier-removal tests.","Recoverable proposal-stage methodological soundness: whether a design can rigorously test its hypothesis.","required=generic_testability_only; notes=Classified generic_testability_only: falsification is discussed as a soundness principle, but no explicit result/threshold/intervention field is required or judged.","Very close construct boundary: pre-execution hypothesis–experiment rigor, controls, baselines, metrics, and language that a design should validate or falsify a claim.","Neither input schema nor output requires the proposer to name an observable falsifying outcome. The judge predicts peer-review-derived soundness rather than comparing explicit bidirectional decision rules; no pairwise/order audit."
"mule2026_teaching_lms_forecast_research_success","Teaching Language Models to Forecast Research Success Through Comparative Idea Evaluation","2026","E3","Benchmark-specific research goal and two detailed paper-grounded method descriptions.","Binary better-performing idea label, optionally preceded by reasoning trace.","minimal_test=no; decisive_metric=yes (provided benchmark metric); support=no; falsifier=no; controls=no","Real benchmark performance.","11,488 pairs/724 leaderboards; unified metric score and sigma difficulty; both original and swapped pairs; accuracy requires consistency across order.","order_reversal=yes; position_bias=yes; original+swapped consistency and debiased probability calibration.; calibration=none","sample=2 NLP experts only for low-confidence paper-source verification; no human comparator for idea judgments.; agreement=no","Dynamic time-aware split; cross-domain recent test and independent Wen et al. test.","Comparative empirical forecasting of benchmark performance.","required=no; notes=No falsifier-family requirement appears in main or appendix; reasoning traces explain a predicted winner after outcome labels exist.","Pairwise research-idea evaluation with stringent A/B order consistency.","The task forecasts realized benchmark performance of existing methods and supplies the metric externally; it does not assess whether a model can formulate a test/falsifier."
"lu2026endtoend","Towards end-to-end automation of AI research","2026","E4","A user-specified ML subfield and either a human-provided code template (focused mode) or a workshop/research scope with no initial code (template-free mode).","High-level research proposal/hypothesis, proposed experimental plan, executed code/results, plots, full manuscript, and automated peer review.","minimal_test=no; decisive_metric=partial; support=partial; falsifier=generic_testability_only; controls=partial","Execution results and paper-level human decisions, not a future-paper research-idea key.","Idea novelty filtering; experiment execution/tree-search checkpoints; five-review Automated Reviewer ensemble/meta-review calibrated on conference accept/reject data; three fully generated manuscripts submitted to an ICLR workshop with consent.","order_reversal=no; position_bias=no; calibration=Automated reviewer evaluated against ICLR decisions and NeurIPS human-consistency data, including post-cutoff papers and 5,000 bootstrap replicates.","sample=Three generated manuscripts received real ICLR-workshop review; reviewer calibration compares automated decisions on n=698/876 papers and human consistency on n=412 papers.; agreement=Human group consistency is used as a reference (F1 0.49) rather than reporting agreement for the three generated submissions.","Automated Reviewer separates 2017-2024 possibly seen papers from a clean 2025 post-cutoff set; ideation uses live literature search for novelty.","End-to-end autonomous ML research from ideation through publication-style evaluation.","required=generic_testability_only; notes=Focused scan across official main+supplement found no falsif/disconfirm/refut/failure-condition/decision-rule/supporting-result requirement. `Negative results` belongs to a workshop-specific manuscript-writing prompt and post-execution paper selection, not precommitment. Template-free finalized ideas carry metrics across stages, but the ideation schema does not require a metric that prospectively separates support from refutation. The older 2024/2025 arXiv system reports are historical predecessors; cite the 2026 Nature version for final metadata and use them only if version-specific detail is needed.","A hypothesis/proposal contains experiments and ideal/expected outcomes; execution can yield negative or inconclusive findings; cross-stage records include evaluation metrics.","The proposal schemas require experiment plans (and in v2 risk factors/limitations) but not a precommitted observable falsifying outcome paired with a supporting condition. Negative results are accepted and analyzed only after execution. The target is an end-to-end research trajectory and finished paper quality, not prospective falsifiable-test formulation."
"radensky2026scideator","Scideator: Human-LLM Compound System for Scientific Ideation through Facet Recombination and Novelty Evaluation","2026","","","","","","","","","","","","Novelty evaluation of scientific ideas with literature-grounded facets.","Interactive ideation support tool; evaluates novelty via facet overlap, not falsifiable-test formulation; no pairwise order-audited judging."
"chen2025autobench","Auto-Bench: An Automated Benchmark for Scientific Discovery in LLMs","2025","","","","","","","","","","","","Automated benchmark construction for scientific-discovery ability.","Tests causal-graph discovery through interactive interventions; no research-proposal unit, no falsifiability contract."
