case_id,source_type,stability,sampling_stability,model_pair,pair_id,source_pair_id,holistic_original,holistic_reverse,structured_original,structured_reverse,score_sum_original,score_sum_reverse,dimension_majority_original,dimension_majority_reverse,structured_model_consistent,score_sum_model_consistent,dimension_majority_model_consistent,confidence_original,confidence_reverse,confidence_consistent,total_aligned_score_change,dimension_margins_json,holistic_structured_disagreement,structured_score_sum_disagreement,large_structured_score_change,high_confidence_disagreement,falsifiability_order_flip,control_failure
t2_formal_011,real_model_pair,order-unstable,order-unstable,Claude-Sonnet-4.6 vs GLM-5,t2_formal_011,smallari_expansion40_009_detection_out_of_distribution_ood_post_hoc_in_di__v02_expansion40__Claude-Sonnet-4.6__vs__GLM-5,A,A,A,B,A,B,A,B,True,True,True,high,high,True,2,"{""decisive_metric"": {""original"": 0, ""reverse"": 0}, ""falsifiability"": {""original"": 0, ""reverse"": 0}, ""grounding"": {""original"": 1, ""reverse"": 0}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": 0, ""reverse"": -1}}",True,False,False,True,False,False
t2_formal_012,real_model_pair,order-stable,order-stable,Claude-Sonnet-4.6 vs DeepSeek-V3.2,t2_formal_012,smallari_fourth40_029_ai_generated_images_detecting_detection_image__v02_fourth40__Claude-Sonnet-4.6__vs__DeepSeek-V3.2,A,B,A,tie,A,tie,A,tie,False,False,False,high,high,True,4,"{""decisive_metric"": {""original"": 1, ""reverse"": 0}, ""falsifiability"": {""original"": 0, ""reverse"": 0}, ""grounding"": {""original"": 1, ""reverse"": 0}, ""hypothesis_specificity"": {""original"": 1, ""reverse"": 0}, ""minimality_feasibility"": {""original"": 1, ""reverse"": 0}}",True,False,False,True,False,False
t2_formal_013,real_model_pair,order-unstable,order-unstable,Claude-Sonnet-4.6 vs GPT 5.2,t2_formal_013,smallari_third40_020_protein_language_prediction_proteins_protein_pro__v02_third40__Claude-Sonnet-4.6__vs__GPT_5.2,A,A,A,A,A,A,A,A,False,False,False,high,high,True,2,"{""decisive_metric"": {""original"": 0, ""reverse"": 0}, ""falsifiability"": {""original"": 0, ""reverse"": 0}, ""grounding"": {""original"": 0, ""reverse"": 0}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": 1, ""reverse"": 1}}",False,False,False,False,False,False
t2_formal_014,real_model_pair,order-stable,order-stable,Claude-Sonnet-4.6 vs GPT 5.2,t2_formal_014,smallari_expansion40_015_bayesian_optimization_search_hierarchical_space__v02_expansion40__Claude-Sonnet-4.6__vs__GPT_5.2,A,B,A,B,A,B,A,B,True,True,True,high,high,True,0,"{""decisive_metric"": {""original"": 1, ""reverse"": -1}, ""falsifiability"": {""original"": 0, ""reverse"": 0}, ""grounding"": {""original"": 0, ""reverse"": 0}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": 0, ""reverse"": 0}}",False,False,False,False,False,False
t2_formal_015,real_model_pair,order-stable,order-stable,GLM-5 vs GPT 5.2,t2_formal_015,smallari_expansion40_008_graph_networks_message_passing_representation__v02_expansion40__GLM-5__vs__GPT_5.2,B,A,B,A,B,A,B,A,True,True,True,high,high,True,0,"{""decisive_metric"": {""original"": 0, ""reverse"": 0}, ""falsifiability"": {""original"": 0, ""reverse"": 0}, ""grounding"": {""original"": 0, ""reverse"": 0}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": -1, ""reverse"": 1}}",False,False,False,False,False,False
t2_formal_016,real_model_pair,order-stable,order-stable,DeepSeek-V3.2 vs GLM-5,t2_formal_016,smallari_next40_034_privacy_differential_private_forward_experiments__v02_next40__DeepSeek-V3.2__vs__GLM-5,B,A,B,A,B,A,B,A,True,True,True,high,high,True,1,"{""decisive_metric"": {""original"": 0, ""reverse"": 0}, ""falsifiability"": {""original"": 0, ""reverse"": 0}, ""grounding"": {""original"": -1, ""reverse"": 1}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": -1, ""reverse"": 0}}",False,False,False,False,False,False
t2_formal_017,real_model_pair,order-stable,order-stable,DeepSeek-V3.2 vs GPT 5.2,t2_formal_017,smallari_expansion40_040_critic_reinforcement_actor_critic_actor_continuo__v02_expansion40__DeepSeek-V3.2__vs__GPT_5.2,B,A,B,A,B,A,B,A,True,True,True,high,high,True,1,"{""decisive_metric"": {""original"": 0, ""reverse"": 1}, ""falsifiability"": {""original"": 0, ""reverse"": 0}, ""grounding"": {""original"": 0, ""reverse"": 0}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": -1, ""reverse"": 1}}",False,False,False,False,False,False
t2_formal_018,real_model_pair,order-stable,order-stable,DeepSeek-V3.2 vs GPT 5.2,t2_formal_018,smallari_fifth40_034_long_long_context_context_language_llms__v02_fifth40__DeepSeek-V3.2__vs__GPT_5.2,A,B,A,B,A,B,A,B,True,True,True,high,high,True,1,"{""decisive_metric"": {""original"": 1, ""reverse"": -1}, ""falsifiability"": {""original"": 1, ""reverse"": 0}, ""grounding"": {""original"": 0, ""reverse"": 0}, ""hypothesis_specificity"": {""original"": 1, ""reverse"": -1}, ""minimality_feasibility"": {""original"": 1, ""reverse"": -1}}",False,False,False,False,True,False
t2_formal_019,real_model_pair,order-unstable,order-unstable,DeepSeek-V3.2 vs GPT 5.2,t2_formal_019,smallari_next40_029_bottleneck_concept_concepts_these_cbms__v02_next40__DeepSeek-V3.2__vs__GPT_5.2,A,A,A,A,A,A,A,A,False,False,False,high,high,True,3,"{""decisive_metric"": {""original"": 1, ""reverse"": 0}, ""falsifiability"": {""original"": 1, ""reverse"": 0}, ""grounding"": {""original"": 0, ""reverse"": 0}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": -1, ""reverse"": 2}}",False,False,False,False,True,False
t2_formal_020,real_model_pair,order-unstable,order-unstable,Claude-Sonnet-4.6 vs GPT 5.2,t2_formal_020,smallari_next40_008_audio_visual_segmentation_audio_cues_objects__v02_next40__Claude-Sonnet-4.6__vs__GPT_5.2,A,A,A,A,A,A,A,A,False,False,False,high,high,True,6,"{""decisive_metric"": {""original"": 2, ""reverse"": 0}, ""falsifiability"": {""original"": 1, ""reverse"": 0}, ""grounding"": {""original"": 0, ""reverse"": 0}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": 2, ""reverse"": 1}}",False,False,True,False,True,False
t2_formal_021,real_model_pair,order-stable,order-stable,DeepSeek-V3.2 vs GPT 5.2,t2_formal_021,smallari_fifth40_039_clustering_temporal_incomplete_exploring_semanti__v02_fifth40__DeepSeek-V3.2__vs__GPT_5.2,A,B,A,B,A,B,A,B,True,True,True,high,high,True,2,"{""decisive_metric"": {""original"": 0, ""reverse"": 0}, ""falsifiability"": {""original"": 0, ""reverse"": 0}, ""grounding"": {""original"": 0, ""reverse"": -1}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": 1, ""reverse"": 0}}",False,False,False,False,False,False
t2_formal_022,human_control_naive_v2,hidden_control,hidden_control,Claude-Sonnet-4.6 vs human_control_naive_v2,t2_formal_022,human_control_naive_v2_005__source__smallari_third40_036_speech_language_representations_unified_generati__v02_third40__Claude-Sonnet-4.6__vs__DeepSeek-V3.2,,,B,A,B,A,B,A,True,True,True,high,high,True,0,"{""decisive_metric"": {""original"": -2, ""reverse"": 2}, ""falsifiability"": {""original"": -2, ""reverse"": 2}, ""grounding"": {""original"": -2, ""reverse"": 2}, ""hypothesis_specificity"": {""original"": -2, ""reverse"": 2}, ""minimality_feasibility"": {""original"": -2, ""reverse"": 2}}",False,False,False,False,False,False
t2_formal_023,real_model_pair,order-stable,order-stable,GLM-5 vs GPT 5.2,t2_formal_023,smallari_expansion40_021_brain_semantics_language_speech_lack__v02_expansion40__GLM-5__vs__GPT_5.2,B,A,B,A,B,A,B,A,True,True,True,high,high,True,0,"{""decisive_metric"": {""original"": 0, ""reverse"": 0}, ""falsifiability"": {""original"": 0, ""reverse"": 0}, ""grounding"": {""original"": 0, ""reverse"": 0}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": -1, ""reverse"": 1}}",False,False,False,False,False,False
t2_formal_024,real_model_pair,order-unstable,order-unstable,Claude-Sonnet-4.6 vs DeepSeek-V3.2,t2_formal_024,smallari_third40_014_time_series_convolutional_classification_layers__v02_third40__Claude-Sonnet-4.6__vs__DeepSeek-V3.2,A,A,A,A,A,tie,A,tie,False,False,False,high,high,True,2,"{""decisive_metric"": {""original"": 1, ""reverse"": 0}, ""falsifiability"": {""original"": 0, ""reverse"": 0}, ""grounding"": {""original"": 0, ""reverse"": 0}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": 1, ""reverse"": 0}}",False,True,False,False,False,False
t2_formal_025,real_model_pair,order-stable,order-stable,Claude-Sonnet-4.6 vs GPT 5.2,t2_formal_025,smallari_fourth40_009_feedback_human_rlhf_reward_reinforcement__v02_fourth40__Claude-Sonnet-4.6__vs__GPT_5.2,B,A,B,A,tie,A,tie,A,True,False,False,high,high,True,1,"{""decisive_metric"": {""original"": 0, ""reverse"": 0}, ""falsifiability"": {""original"": 0, ""reverse"": 0}, ""grounding"": {""original"": 0, ""reverse"": 0}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": 0, ""reverse"": 1}}",False,True,False,False,False,False
t2_formal_026,real_model_pair,order-stable,order-stable,Claude-Sonnet-4.6 vs GPT 5.2,t2_formal_026,smallari_fourth40_011_architecture_search_spaces_multi_objective_nas__v02_fourth40__Claude-Sonnet-4.6__vs__GPT_5.2,B,A,A,A,A,A,A,A,False,False,False,high,high,True,4,"{""decisive_metric"": {""original"": 0, ""reverse"": 0}, ""falsifiability"": {""original"": 0, ""reverse"": 1}, ""grounding"": {""original"": 0, ""reverse"": 1}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": 1, ""reverse"": 1}}",True,False,True,True,True,False
t2_formal_027,real_model_pair,order-stable,order-stable,DeepSeek-V3.2 vs GPT 5.2,t2_formal_027,smallari_next40_024_experts_mixture_of_experts_moe_mixture_expert__v02_next40__DeepSeek-V3.2__vs__GPT_5.2,A,B,A,B,A,B,A,B,True,True,True,high,high,True,2,"{""decisive_metric"": {""original"": 1, ""reverse"": 0}, ""falsifiability"": {""original"": 0, ""reverse"": 0}, ""grounding"": {""original"": 0, ""reverse"": 0}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": 2, ""reverse"": -1}}",False,False,False,False,False,False
t2_formal_028,real_model_pair,order-unstable,order-unstable,Claude-Sonnet-4.6 vs DeepSeek-V3.2,t2_formal_028,smallari_next40_025_tabular_features_graphs_tabgraphs_heterogeneous__v02_next40__Claude-Sonnet-4.6__vs__DeepSeek-V3.2,A,A,A,A,tie,A,A,A,False,False,False,high,high,True,3,"{""decisive_metric"": {""original"": 1, ""reverse"": 0}, ""falsifiability"": {""original"": -2, ""reverse"": 2}, ""grounding"": {""original"": 0, ""reverse"": 1}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": 1, ""reverse"": 0}}",False,True,False,False,False,False
t2_formal_029,human_control_naive_v2,hidden_control,hidden_control,GPT 5.2 vs human_control_naive_v2,t2_formal_029,human_control_naive_v2_003__source__smallari_third40_022_multi_modal_modality_multiple_completion_complet__v02_third40__DeepSeek-V3.2__vs__GPT_5.2,,,B,A,B,A,B,A,True,True,True,high,high,True,0,"{""decisive_metric"": {""original"": -2, ""reverse"": 2}, ""falsifiability"": {""original"": -2, ""reverse"": 2}, ""grounding"": {""original"": -2, ""reverse"": 2}, ""hypothesis_specificity"": {""original"": -2, ""reverse"": 2}, ""minimality_feasibility"": {""original"": -2, ""reverse"": 2}}",False,False,False,False,False,False
t2_formal_030,real_model_pair,order-stable,order-stable,GLM-5 vs GPT 5.2,t2_formal_030,smallari_expansion40_030_pruning_language_llms_however_layer_wise__v02_expansion40__GLM-5__vs__GPT_5.2,A,B,A,B,A,B,A,B,True,True,True,high,high,True,2,"{""decisive_metric"": {""original"": 1, ""reverse"": 0}, ""falsifiability"": {""original"": 0, ""reverse"": 0}, ""grounding"": {""original"": 0, ""reverse"": -1}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": 1, ""reverse"": -1}}",False,False,False,False,False,False
t2_formal_031,real_model_pair,order-unstable,order-unstable,Claude-Sonnet-4.6 vs GLM-5,t2_formal_031,smallari_expansion40_017_group_fairness_individual_in_processing_fair__v02_expansion40__Claude-Sonnet-4.6__vs__GLM-5,A,A,B,A,B,A,B,A,True,True,True,high,high,True,1,"{""decisive_metric"": {""original"": 0, ""reverse"": 0}, ""falsifiability"": {""original"": 0, ""reverse"": 0}, ""grounding"": {""original"": -1, ""reverse"": 0}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": -1, ""reverse"": 1}}",True,False,False,True,False,False
t2_formal_032,real_model_pair,order-stable,order-stable,Claude-Sonnet-4.6 vs DeepSeek-V3.2,t2_formal_032,smallari_third40_023_language_instruction_tuned_evaluating_robustness__v02_third40__Claude-Sonnet-4.6__vs__DeepSeek-V3.2,B,A,B,A,B,A,B,A,True,True,True,high,high,True,0,"{""decisive_metric"": {""original"": -1, ""reverse"": 1}, ""falsifiability"": {""original"": 0, ""reverse"": 0}, ""grounding"": {""original"": 0, ""reverse"": 0}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": -1, ""reverse"": 1}}",False,False,False,False,False,False
t2_formal_033,real_model_pair,order-stable,order-stable,DeepSeek-V3.2 vs GPT 5.2,t2_formal_033,smallari_fourth40_005_attack_backdoor_against_backdoors_defense__v02_fourth40__DeepSeek-V3.2__vs__GPT_5.2,B,A,B,A,B,A,B,A,True,True,True,high,high,True,1,"{""decisive_metric"": {""original"": 0, ""reverse"": 1}, ""falsifiability"": {""original"": 0, ""reverse"": 0}, ""grounding"": {""original"": -1, ""reverse"": 1}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": -1, ""reverse"": 1}}",False,False,False,False,False,False
t2_formal_034,real_model_pair,order-stable,order-stable,Claude-Sonnet-4.6 vs GLM-5,t2_formal_034,smallari_next40_001_long_context_cache_llms_compression_particularly__v02_next40__Claude-Sonnet-4.6__vs__GLM-5,A,B,A,B,A,tie,A,tie,True,False,False,high,high,True,1,"{""decisive_metric"": {""original"": 0, ""reverse"": 0}, ""falsifiability"": {""original"": 0, ""reverse"": 0}, ""grounding"": {""original"": 0, ""reverse"": 0}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": 1, ""reverse"": 0}}",False,True,False,False,False,False
t2_formal_035,real_model_pair,order-unstable,order-unstable,Claude-Sonnet-4.6 vs DeepSeek-V3.2,t2_formal_035,smallari_third40_018_experts_mixture_soft_implicit_efficiently__v02_third40__Claude-Sonnet-4.6__vs__DeepSeek-V3.2,A,A,B,A,B,A,B,A,True,True,True,high,high,True,0,"{""decisive_metric"": {""original"": -1, ""reverse"": 1}, ""falsifiability"": {""original"": 0, ""reverse"": 0}, ""grounding"": {""original"": 0, ""reverse"": 0}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": 0, ""reverse"": 0}}",True,False,False,True,False,False
t2_formal_036,real_model_pair,order-stable,order-stable,Claude-Sonnet-4.6 vs DeepSeek-V3.2,t2_formal_036,smallari_fourth40_015_protein_diffusion_sequences_representation_seque__v02_fourth40__Claude-Sonnet-4.6__vs__DeepSeek-V3.2,A,B,A,B,A,B,A,tie,True,True,False,high,high,True,1,"{""decisive_metric"": {""original"": 0, ""reverse"": 0}, ""falsifiability"": {""original"": 0, ""reverse"": 0}, ""grounding"": {""original"": 0, ""reverse"": 1}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": 2, ""reverse"": -2}}",False,False,False,False,False,False
t2_formal_037,real_model_pair,order-stable,order-stable,Claude-Sonnet-4.6 vs GLM-5,t2_formal_037,smallari_next40_003_quantum_design_algorithm_potential_llms__v02_next40__Claude-Sonnet-4.6__vs__GLM-5,A,B,A,B,A,B,A,B,True,True,True,high,high,True,2,"{""decisive_metric"": {""original"": 1, ""reverse"": 0}, ""falsifiability"": {""original"": 1, ""reverse"": 0}, ""grounding"": {""original"": 1, ""reverse"": -1}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": 1, ""reverse"": -1}}",False,False,False,False,True,False
t2_formal_038,real_model_pair,order-stable,order-stable,GLM-5 vs GPT 5.2,t2_formal_038,smallari_fifth40_017_event_spiking_cameras_however_recognition__v02_fifth40__GLM-5__vs__GPT_5.2,B,A,B,A,B,A,B,A,True,True,True,high,high,True,2,"{""decisive_metric"": {""original"": -1, ""reverse"": 1}, ""falsifiability"": {""original"": 0, ""reverse"": 1}, ""grounding"": {""original"": 0, ""reverse"": 1}, ""hypothesis_specificity"": {""original"": -1, ""reverse"": 1}, ""minimality_feasibility"": {""original"": -1, ""reverse"": 1}}",False,False,False,False,True,False
t2_formal_039,real_model_pair,order-stable,order-stable,GLM-5 vs GPT 5.2,t2_formal_039,smallari_fifth40_023_generation_image_object_priors_diffusion__v02_fifth40__GLM-5__vs__GPT_5.2,A,B,A,B,A,B,A,B,True,True,True,high,high,True,2,"{""decisive_metric"": {""original"": 1, ""reverse"": 0}, ""falsifiability"": {""original"": 0, ""reverse"": 0}, ""grounding"": {""original"": 0, ""reverse"": 0}, ""hypothesis_specificity"": {""original"": 1, ""reverse"": 0}, ""minimality_feasibility"": {""original"": 1, ""reverse"": -1}}",False,False,False,False,False,False
t2_formal_040,real_model_pair,order-stable,order-stable,DeepSeek-V3.2 vs GLM-5,t2_formal_040,smallari_third40_032_problems_inverse_diffusion_guidance_priors__v02_third40__DeepSeek-V3.2__vs__GLM-5,B,A,B,A,B,A,B,A,True,True,True,high,high,True,2,"{""decisive_metric"": {""original"": 0, ""reverse"": 1}, ""falsifiability"": {""original"": 0, ""reverse"": 0}, ""grounding"": {""original"": 0, ""reverse"": 1}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": -1, ""reverse"": 1}}",False,False,False,False,False,False
t2_formal_041,real_model_pair,order-stable,order-stable,DeepSeek-V3.2 vs GPT 5.2,t2_formal_041,smallari_next40_014_spiking_networks_latency_conversion_imagenet__v02_next40__DeepSeek-V3.2__vs__GPT_5.2,A,B,A,B,A,B,A,B,True,True,True,high,high,True,1,"{""decisive_metric"": {""original"": 1, ""reverse"": 0}, ""falsifiability"": {""original"": 0, ""reverse"": 0}, ""grounding"": {""original"": 0, ""reverse"": 0}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": 1, ""reverse"": -1}}",False,False,False,False,False,False
t2_formal_042,real_model_pair,order-stable,order-stable,DeepSeek-V3.2 vs GLM-5,t2_formal_042,smallari_fifth40_021_quantization_language_transformations_scaling_po__v02_fifth40__DeepSeek-V3.2__vs__GLM-5,A,B,A,B,A,B,A,B,True,True,True,high,high,True,1,"{""decisive_metric"": {""original"": 0, ""reverse"": 0}, ""falsifiability"": {""original"": 0, ""reverse"": 0}, ""grounding"": {""original"": 0, ""reverse"": 0}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": 2, ""reverse"": -1}}",False,False,False,False,False,False
t2_formal_043,real_model_pair,order-unstable,order-unstable,Claude-Sonnet-4.6 vs GLM-5,t2_formal_043,smallari_third40_026_black_box_optimization_address_white_box_however__v02_third40__Claude-Sonnet-4.6__vs__GLM-5,A,A,A,B,A,B,A,B,True,True,True,high,high,True,3,"{""decisive_metric"": {""original"": 1, ""reverse"": -1}, ""falsifiability"": {""original"": 1, ""reverse"": 0}, ""grounding"": {""original"": 0, ""reverse"": 0}, ""hypothesis_specificity"": {""original"": 1, ""reverse"": -1}, ""minimality_feasibility"": {""original"": 1, ""reverse"": 1}}",True,False,False,True,True,False
t2_formal_044,real_model_pair,order-stable,order-stable,GLM-5 vs GPT 5.2,t2_formal_044,smallari_next40_028_gaussian_splatting_reconstruction_rendering_high__v02_next40__GLM-5__vs__GPT_5.2,B,A,B,A,B,A,B,A,True,True,True,high,high,True,0,"{""decisive_metric"": {""original"": 0, ""reverse"": 0}, ""falsifiability"": {""original"": 0, ""reverse"": 0}, ""grounding"": {""original"": 0, ""reverse"": 0}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": -1, ""reverse"": 1}}",False,False,False,False,False,False
